date,sku,category,unit_price,lead_time_days,promotion,inventory,demand
2024-01-01,SKU-001,Electronics,155.48,2,0,314.43,47.84
2024-01-02,SKU-001,Electronics,155.48,2,0,352.7,45.74
2024-01-03,SKU-001,Electronics,155.48,2,0,416.86,48.58
2024-01-04,SKU-001,Electronics,155.48,2,0,211.66,47.24
2024-01-05,SKU-001,Electronics,155.48,2,1,415.83,61.65
2024-01-06,SKU-001,Electronics,155.48,2,0,459.49,55.74
2024-01-07,SKU-001,Electronics,155.48,2,0,180.46,53.41
2024-01-08,SKU-001,Electronics,155.48,2,0,466.2,53.82
2024-01-09,SKU-001,Electronics,155.48,2,0,198.8,48.47
2024-01-10,SKU-001,Electronics,155.48,2,0,315.91,43.42
2024-01-11,SKU-001,Electronics,155.48,2,0,196.24,42.31
2024-01-12,SKU-001,Electronics,155.48,2,0,235.76,47.08
2024-01-13,SKU-001,Electronics,155.48,2,0,171.34,54.86
2024-01-14,SKU-001,Electronics,155.48,2,0,356.57,47.32
2024-01-15,SKU-001,Electronics,155.48,2,0,156.92,46.08
2024-01-16,SKU-001,Electronics,155.48,2,0,314.69,41.14
2024-01-17,SKU-001,Electronics,155.48,2,0,235.47,49.9
2024-01-18,SKU-001,Electronics,155.48,2,0,256.48,50.56
2024-01-19,SKU-001,Electronics,155.48,2,0,209.78,44.29
2024-01-20,SKU-001,Electronics,155.48,2,0,409.34,51.92
2024-01-21,SKU-001,Electronics,155.48,2,0,215.66,55.25
2024-01-22,SKU-001,Electronics,155.48,2,1,322.67,57.13
2024-01-23,SKU-001,Electronics,155.48,2,0,367.8,49.85
2024-01-24,SKU-001,Electronics,155.48,2,0,291.6,46.73
2024-01-25,SKU-001,Electronics,155.48,2,1,507.37,57.16
2024-01-26,SKU-001,Electronics,155.48,2,0,410.2,47.14
2024-01-27,SKU-001,Electronics,155.48,2,0,222.57,51.11
2024-01-28,SKU-001,Electronics,155.48,2,0,249.38,57.63
2024-01-29,SKU-001,Electronics,155.48,2,0,381.53,46.74
2024-01-30,SKU-001,Electronics,155.48,2,0,361.14,49.84
2024-01-31,SKU-001,Electronics,155.48,2,0,252.99,45.44
2024-02-01,SKU-001,Electronics,155.48,2,0,224.01,52.25
2024-02-02,SKU-001,Electronics,155.48,2,0,396.46,47.05
2024-02-03,SKU-001,Electronics,155.48,2,0,158.93,57.7
2024-02-04,SKU-001,Electronics,155.48,2,0,228.09,56.67
2024-02-05,SKU-001,Electronics,155.48,2,0,297.25,51.2
2024-02-06,SKU-001,Electronics,155.48,2,0,277.97,46.89
2024-02-07,SKU-001,Electronics,155.48,2,1,565.16,67.75
2024-02-08,SKU-001,Electronics,155.48,2,0,308.73,44.01
2024-02-09,SKU-001,Electronics,155.48,2,0,177.09,50.62
2024-02-10,SKU-001,Electronics,155.48,2,0,366.17,52.81
2024-02-11,SKU-001,Electronics,155.48,2,0,305.3,59.42
2024-02-12,SKU-001,Electronics,155.48,2,0,216.51,49.9
2024-02-13,SKU-001,Electronics,155.48,2,0,255.36,48.93
2024-02-14,SKU-001,Electronics,155.48,2,0,468.45,56.35
2024-02-15,SKU-001,Electronics,155.48,2,0,417.19,55.47
2024-02-16,SKU-001,Electronics,155.48,2,0,394.81,52.41
2024-02-17,SKU-001,Electronics,155.48,2,0,220.72,52.15
2024-02-18,SKU-001,Electronics,155.48,2,0,351.47,55.8
2024-02-19,SKU-001,Electronics,155.48,2,0,472.03,53.46
2024-02-20,SKU-001,Electronics,155.48,2,0,230.98,52.45
2024-02-21,SKU-001,Electronics,155.48,2,0,252.66,43.94
2024-02-22,SKU-001,Electronics,155.48,2,0,391.28,48.25
2024-02-23,SKU-001,Electronics,155.48,2,0,200.44,51.6
2024-02-24,SKU-001,Electronics,155.48,2,0,343.68,56.58
2024-02-25,SKU-001,Electronics,155.48,2,0,486.49,57.3
2024-02-26,SKU-001,Electronics,155.48,2,0,191.74,52.37
2024-02-27,SKU-001,Electronics,155.48,2,0,387.5,60.87
2024-02-28,SKU-001,Electronics,155.48,2,0,364.11,46.62
2024-02-29,SKU-001,Electronics,155.48,2,1,464.83,63.88
2024-03-01,SKU-001,Electronics,155.48,2,0,428.72,48.2
2024-03-02,SKU-001,Electronics,155.48,2,0,355.08,55.19
2024-03-03,SKU-001,Electronics,155.48,2,0,275.66,66.09
2024-03-04,SKU-001,Electronics,155.48,2,0,207.55,62.68
2024-03-05,SKU-001,Electronics,155.48,2,0,280.8,58.51
2024-03-06,SKU-001,Electronics,155.48,2,0,251.82,53.91
2024-03-07,SKU-001,Electronics,155.48,2,1,224.15,66.22
2024-03-08,SKU-001,Electronics,155.48,2,1,490.08,68.85
2024-03-09,SKU-001,Electronics,155.48,2,0,476.01,59.01
2024-03-10,SKU-001,Electronics,155.48,2,1,360.87,75.01
2024-03-11,SKU-001,Electronics,155.48,2,0,265.32,49.87
2024-03-12,SKU-001,Electronics,155.48,2,1,244.62,71.69
2024-03-13,SKU-001,Electronics,155.48,2,1,579.19,70.8
2024-03-14,SKU-001,Electronics,155.48,2,0,363.66,53.69
2024-03-15,SKU-001,Electronics,155.48,2,0,337.78,51.88
2024-03-16,SKU-001,Electronics,155.48,2,0,403.13,58.31
2024-03-17,SKU-001,Electronics,155.48,2,0,316.82,52.88
2024-03-18,SKU-001,Electronics,155.48,2,0,277.12,56.0
2024-03-19,SKU-001,Electronics,155.48,2,0,458.35,51.72
2024-03-20,SKU-001,Electronics,155.48,2,0,381.46,57.19
2024-03-21,SKU-001,Electronics,155.48,2,0,347.68,55.95
2024-03-22,SKU-001,Electronics,155.48,2,0,250.1,56.56
2024-03-23,SKU-001,Electronics,155.48,2,0,409.97,59.63
2024-03-24,SKU-001,Electronics,155.48,2,0,533.42,62.03
2024-03-25,SKU-001,Electronics,155.48,2,0,345.48,51.19
2024-03-26,SKU-001,Electronics,155.48,2,0,205.14,49.42
2024-03-27,SKU-001,Electronics,155.48,2,1,450.4,69.06
2024-03-28,SKU-001,Electronics,155.48,2,0,417.08,54.18
2024-03-29,SKU-001,Electronics,155.48,2,0,401.05,45.67
2024-03-30,SKU-001,Electronics,155.48,2,1,578.41,81.43
2024-03-31,SKU-001,Electronics,155.48,2,0,315.61,62.4
2024-04-01,SKU-001,Electronics,155.48,2,0,278.15,54.07
2024-04-02,SKU-001,Electronics,155.48,2,0,453.56,54.48
2024-04-03,SKU-001,Electronics,155.48,2,0,356.76,58.42
2024-04-04,SKU-001,Electronics,155.48,2,0,315.02,56.12
2024-04-05,SKU-001,Electronics,155.48,2,0,243.09,56.1
2024-04-06,SKU-001,Electronics,155.48,2,0,334.04,52.21
2024-04-07,SKU-001,Electronics,155.48,2,1,623.46,80.76
2024-04-08,SKU-001,Electronics,155.48,2,0,249.26,50.17
2024-04-09,SKU-001,Electronics,155.48,2,0,431.24,47.92
2024-04-10,SKU-001,Electronics,155.48,2,0,200.88,54.64
2024-04-11,SKU-001,Electronics,155.48,2,1,207.23,68.62
2024-04-12,SKU-001,Electronics,155.48,2,0,218.8,53.64
2024-04-13,SKU-001,Electronics,155.48,2,0,189.24,58.3
2024-04-14,SKU-001,Electronics,155.48,2,0,206.72,54.55
2024-04-15,SKU-001,Electronics,155.48,2,1,605.47,70.33
